tile_id,filename,md5_hash,filesize_bytes,type,in_train,dataset
JW725114,JW725114_satellite.tif,97b19f0747260df89e23f33caced3632,1105392,satellite,TRUE,train_img
UX493605,UX493605_satellite.tif,fbdd888f115ede68ee83996071c007dc,1270901,satellite,TRUE,train_img
OU500661,OU500661_satellite.tif,2003e7d0eaf10894e796721b5d344eeb,1238008,satellite,TRUE,train_img
DC227980,DC227980_satellite.tif,8498ccaff72b8d7cfcc7f9404baf36f2,1252483,satellite,TRUE,train_img
SS602790,SS602790_satellite.tif,525618743f94a065158f432bd5ee2d32,1535964,satellite,TRUE,train_img
XD932929,XD932929_satellite.tif,41d5a854816a17f2ccd03297d93a3a53,1583021,satellite,TRUE,train_img
MP775908,MP775908_satellite.tif,701bd00fd6ea071a2e1de57ca232d005,1091972,satellite,TRUE,train_img
CW933853,CW933853_satellite.tif,fda1dccddfe5a7955b9b2dc6cedd2345,1145603,satellite,TRUE,train_img
MW120705,MW120705_satellite.tif,ef2ec4573be612f17aa30fce0a4b17fd,1100274,satellite,TRUE,train_img
RZ951649,RZ951649_satellite.tif,c6dca7188b1814cf8a9d7447f0695792,1481181,satellite,TRUE,train_img
CQ977809,CQ977809_satellite.tif,43e9aa09dc853d0a124945ede449eeb4,1500211,satellite,TRUE,train_img
YG790573,YG790573_satellite.tif,a08fcb5cefc50fb8f8b3b962d9340d85,1313755,satellite,TRUE,train_img
RO939398,RO939398_satellite.tif,0dc8adff320f6c89675c93a1ad94e938,1496443,satellite,TRUE,train_img
BE703016,BE703016_satellite.tif,50e1933fc7c415d2c7e9236adffe96f0,1124986,satellite,TRUE,train_img
FC689820,FC689820_satellite.tif,b5cbb1cd8c4f22f5475798d5e5e9ccb8,1149496,satellite,TRUE,train_img
YB188720,YB188720_satellite.tif,543587939a662af9252433ada25a3f0a,457400,satellite,TRUE,train_img
QJ481219,QJ481219_satellite.tif,964d9da6ad1abdbedf3b82996e9002cb,1364929,satellite,TRUE,train_img
JB644675,JB644675_satellite.tif,0ffcfecc98d8886e850d2c6fe336d33d,879073,satellite,TRUE,train_img
JV660046,JV660046_satellite.tif,9548158eab1b6af9a24c6756d9ba240d,1324808,satellite,TRUE,train_img
SP828866,SP828866_satellite.tif,bc8728010da73873160fa8d8a925658f,1204790,satellite,TRUE,train_img
LT664353,LT664353_satellite.tif,2a6022c6d8c42c3425a3f919fda44e0f,1240698,satellite,TRUE,train_img
WD794804,WD794804_satellite.tif,506c6aa3f731fbb0270afc3fbb0aefa8,1327044,satellite,TRUE,train_img
GE731394,GE731394_satellite.tif,8e61071f0c91ca13ad2d4b566bf3b6b1,1054076,satellite,TRUE,train_img
TN177971,TN177971_satellite.tif,a9ab4d75cb1a5b53b266965d2a053b7d,674224,satellite,TRUE,train_img
IM781332,IM781332_satellite.tif,47b712ab9f747c22050a123cbcbe5cc3,858613,satellite,TRUE,train_img
MO187298,MO187298_satellite.tif,e8f2f71b9736a32004f9d21b1c362884,941321,satellite,TRUE,train_img
GC760150,GC760150_satellite.tif,d5e1d23d1d1f14d937f5ba75485b8d8b,831996,satellite,TRUE,train_img
LS789247,LS789247_satellite.tif,af69dbf1fef453dffeeab9f683d52c73,871619,satellite,TRUE,train_img
QT272011,QT272011_satellite.tif,8a4d8ef5185bb695b44f4b000fad20e3,904417,satellite,TRUE,train_img
EK926051,EK926051_satellite.tif,5092b927cb4907545793dbcc41e0daaa,1028519,satellite,TRUE,train_img
DR215333,DR215333_satellite.tif,0c3362223308fe4ddee16636aa3a934d,878055,satellite,TRUE,train_img
NC445356,NC445356_satellite.tif,c26395056819dca59a80de3a0b3d2817,992574,satellite,TRUE,train_img
LK915866,LK915866_satellite.tif,7f05fd77e79ed0d11b67597c5ad2923f,1029727,satellite,TRUE,train_img
MH497024,MH497024_satellite.tif,b44b9071f92428a255f431dff7a88618,1065970,satellite,TRUE,train_img
ZD284267,ZD284267_satellite.tif,c4f327e792616469793f461a9cd02085,1364726,satellite,TRUE,train_img
JS961240,JS961240_satellite.tif,25bf5bfa2be338c74409305e12969966,893781,satellite,TRUE,train_img
DQ465848,DQ465848_satellite.tif,48e39bcdabec5c86008795f08dd8e791,1278494,satellite,TRUE,train_img
JR384220,JR384220_satellite.tif,08989823de981b463b2fbb62d2aa7340,1251921,satellite,TRUE,train_img
BF433443,BF433443_satellite.tif,7fb934da8b88878a59c3941d4063c114,1174439,satellite,TRUE,train_img
MF461940,MF461940_satellite.tif,993d219310afe69fc8dfc1eb345cb702,1017060,satellite,TRUE,train_img
VZ657509,VZ657509_satellite.tif,158822fdd74f84f19ba981d267daac15,1078292,satellite,TRUE,train_img
